<<<<<<< HEAD
"PGM_ID","XREF_ID","No_of_dropouts","Attendance_percentage","Pre_Assessment_Score","Mid_Assessment_Score","Post_Assessment_Score","Closure_report"
1,1,0,67,88,434,33,y
2,2,2,75,50,576,50,y
3,3,1,75,58,56,58,y
4,4,2,75,50,202,50,y
5,5,3,54,67,101,67,y
6,6,3,54,76,203,76,y
7,7,4,75,88,546,88,y
8,1,0,67,88,434,33,y
9,2,2,75,50,576,50,y
10,3,1,75,58,56,58,y
11,4,2,75,50,202,50,y
12,5,3,54,67,101,67,y
13,6,3,54,76,203,76,y
14,7,4,75,88,546,88,y
=======
"PGM_ID","XREF_ID","No_of_dropouts","Attendance_percentage","Pre_Assessment_Score","Mid_Assessment_Score","Post_Assessment_Score","Closure_report"
1,1,0,67,88,434,33,y
2,2,2,75,50,576,50,y
3,3,1,75,58,56,58,y
4,4,2,75,50,202,50,y
5,5,3,54,67,101,67,y
6,6,3,54,76,203,76,y
7,7,4,75,88,546,88,y
8,1,0,67,88,434,33,y
9,2,2,75,50,576,50,y
10,3,1,75,58,56,58,y
11,4,2,75,50,202,50,y
12,5,3,54,67,101,67,y
13,6,3,54,76,203,76,y
14,7,4,75,88,546,88,y
>>>>>>> 8fecce7e253a36ed01b8ee153f28277c401f5624
